FIPS,State,County,Climate Region,MEDHINC16,GROC16,CONVS16,SUPERC16,PCT_OBESE_ADULTS17,RECFAC16,largest_group,FFR16,FSR16,PCTADTLHS16_20,PCTADTWHS16_20,PCTADTWC16_20
47065,TN,Hamilton,Ohio Valley,48690.0,58,203,8,32.8,54,white_not_hispanic_2017,328,314,9.712799418367307,26.24695284342961,30.74799674969966
18035,IN,Delaware,Ohio Valley,41404.0,13,63,3,33.6,11,white_not_hispanic_2017,83,70,9.785605762196838,34.30870519385515,31.01963873726859
48037,TX,Bowie,South,45455.0,17,44,4,33.0,11,white_not_hispanic_2017,98,49,10.50570192685804,33.86551317341722,33.74125049154542
1021,AL,Chilton,Southeast,44188.0,5,33,1,36.3,2,white_not_hispanic_2017,22,23,18.19056146983716,43.34560408582894,24.84329917421152
37161,NC,Rutherford,Southeast,38699.0,12,30,1,32.1,3,white_not_hispanic_2017,33,49,15.10570253769157,31.93919508244383,33.7521285874486
51161,VA,Roanoke,Southeast,62306.0,11,39,1,30.1,16,white_not_hispanic_2017,53,55,6.708992842761195,27.23424893082316,30.07950854606646
39087,OH,Lawrence,Ohio Valley,42132.0,11,25,2,33.8,3,white_not_hispanic_2017,38,14,12.29496539300275,44.15473594387029,27.72115293448374
42017,PA,Bucks,Northeast,80132.0,91,166,10,31.6,88,white_not_hispanic_2017,484,481,5.700500913377987,27.9964798279027,24.06939894839303
22057,LA,Lafourche,South,52220.0,12,51,3,36.2,14,white_not_hispanic_2017,52,41,19.87562784022961,41.73194211911026,21.48558957187276
55127,WI,Walworth,Upper Midwest,58904.0,19,52,3,32.0,9,white_not_hispanic_2017,71,109,8.52349480717554,30.46699106688939,31.53315418694168
5069,AR,Jefferson,South,38485.0,15,40,1,35.0,1,white_not_hispanic_2017,58,33,12.59503129805714,40.16114709003877,29.25122917975265
26129,MI,Ogemaw,Upper Midwest,37842.0,4,17,1,32.3,3,white_not_hispanic_2017,17,24,13.34053641794839,36.86284479471209,37.49205542138045
